,zipcode,median_household_income,population,median_home_value,major_city,lat,long
228,01237,71932.0,2496.0,218400.0,Lanesboro,42.547818, -73.268033
229,01238,59477.0,6047.0,251300.0,Lee,42.297501, -73.230148
230,01240,51464.0,4534.0,321400.0,Lenox,42.367858, -73.269763
231,01242,55167.0,476.0,257000.0,Lenox Dale,42.333734, -73.249199
232,01243,67411.0,334.0,201000.0,Middlefield,42.350122, -73.024112
233,01244,29125.0,151.0,353800.0,Mill River,42.118094, -73.257497
234,01245,52500.0,985.0,417900.0,Monterey,42.186893, -73.223105
235,01247,41103.0,16087.0,157300.0,North Adams,42.698526, -73.084300
236,01253,67917.0,731.0,252700.0,Otis,42.206683, -73.113214
237,01254,95125.0,972.0,404800.0,Richmond,42.382019, -73.365492
238,01255,55917.0,915.0,248000.0,Sandisfield,42.107496, -73.118607
239,01256,56500.0,692.0,184500.0,Savoy,42.594166, -73.022320
240,01257,50543.0,2121.0,330700.0,Sheffield,42.085244, -73.367483
241,01258,56607.0,374.0,348600.0,South Egremont,42.109280, -73.462886
242,01259,70074.0,635.0,473100.0,Southfield,42.075469, -73.234376
243,01260,74615.0,240.0,495000.0,South Lee,42.295696, -73.342543
244,01262,41648.0,1238.0,373400.0,Stockbridge,42.292202, -73.319209
245,01264,70625.0,137.0,361100.0,Tyringham,42.231590, -73.202428
246,01266,76953.0,1463.0,400000.0,West Stockbridge,42.312354, -73.388044
247,01267,72352.0,7989.0,293000.0,Williamstown,42.671617, -73.246981
248,01270,68456.0,778.0,245300.0,Windsor,42.515272, -73.031166
249,01301,48319.0,17700.0,186300.0,Greenfield,42.626761, -72.601530
250,01330,72560.0,1506.0,286200.0,Ashfield,42.513947, -72.821517
251,01331,50498.0,13263.0,161600.0,Athol,42.562408, -72.191080
252,01337,58875.0,2596.0,229700.0,Bernardston,42.689307, -72.582249
253,01338,69886.0,187.0,255900.0,Buckland,42.572604, -72.824306
254,01339,50536.0,1438.0,213100.0,Charlemont,42.603776, -72.889644
255,01340,49886.0,1701.0,190300.0,Colrain,42.694731, -72.710956
256,01341,77500.0,1833.0,291000.0,Conway,42.496937, -72.709414
257,01342,99675.0,1492.0,335600.0,Deerfield,42.543889, -72.609458
258,01343,81806.0,75.0,344400.0,Drury,42.657625, -72.978933
259,01344,57500.0,1498.0,198400.0,Erving,42.613418, -72.426427
260,01346,65000.0,533.0,237500.0,Heath,42.693275, -72.823113
261,01347,31250.0,166.0,86500.0,Lake Pleasant,42.559294, -72.518753
262,01349,50714.0,1091.0,193000.0,Millers Falls,42.563061, -72.482122
263,01350,36875.0,121.0,145000.0,Monroe Bridge,42.727772, -72.985346
264,01351,70799.0,2270.0,249700.0,Montague,42.539880, -72.521689
265,01354,74583.0,1500.0,213800.0,Gill,42.624076, -72.508643
266,01355,68929.0,878.0,248600.0,New Salem,42.458551, -72.327191
267,01360,60608.0,3032.0,241400.0,Northfield,42.677091, -72.453876
268,01364,45758.0,7969.0,163400.0,Orange,42.605437, -72.292074
269,01366,76094.0,1277.0,300800.0,Petersham,42.475621, -72.192468
270,01367,47279.0,522.0,200900.0,Rowe,42.695532, -72.909148
271,01368,60750.0,1261.0,194100.0,Royalston,42.679456, -72.176935
272,01370,53516.0,4084.0,237100.0,Shelburne Falls,42.593338, -72.726941
273,01373,64127.0,4600.0,274400.0,South Deerfield,42.475481, -72.615403
274,01375,47000.0,3684.0,288500.0,Sunderland,42.466691, -72.546751
275,01376,39792.0,5247.0,186300.0,Turners Falls,42.595280, -72.555002
276,01378,56094.0,774.0,187900.0,Warwick,42.673533, -72.353213
277,01379,48188.0,813.0,198400.0,Wendell,42.556310, -72.407148
278,01420,45363.0,40337.0,191100.0,Fitchburg,42.584925, -71.816862
279,01430,83532.0,6089.0,236500.0,Ashburnham,42.657005, -71.923442
280,01431,82778.0,3074.0,246400.0,Ashby,42.676293, -71.832523
281,01432,57543.0,7089.0,274900.0,Ayer,42.566573, -71.575135
282,01434,77396.0,1795.0,265600.0,Devens,42.538903, -71.612027
283,01436,69076.0,3336.0,204100.0,Baldwinville,42.602059, -72.087015
284,01438,62422.0,559.0,180400.0,East Templeton,42.562243, -72.031402
285,01440,49067.0,20347.0,178900.0,Gardner,42.584206, -71.988737
286,01450,117127.0,10646.0,435000.0,Groton,42.611760, -71.565269
287,01451,136058.0,4747.0,590900.0,Harvard,42.501908, -71.568201
288,01452,86979.0,4382.0,249500.0,Hubbardston,42.489598, -72.002878
289,01453,58896.0,40883.0,232600.0,Leominster,42.519977, -71.763202
290,01460,105455.0,8924.0,382700.0,Littleton,42.535931, -71.490569
291,01462,76063.0,10086.0,282100.0,Lunenburg,42.582607, -71.720464
292,01463,81193.0,11497.0,319100.0,Pepperell,42.670643, -71.602858
293,01464,65882.0,7211.0,273700.0,Shirley,42.573654, -71.640986
294,01467,181810.0,316.0,534500.0,Still River,42.489646, -71.609577
295,01468,62096.0,4021.0,225800.0,Templeton,42.542767, -72.068345
296,01469,78985.0,6801.0,263800.0,Townsend,42.664828, -71.695087
297,01473,83840.0,7277.0,251200.0,Westminster,42.554600, -71.905440
298,01474,90521.0,2125.0,269400.0,West Townsend,42.669685, -71.752751
299,01475,58288.0,10270.0,204900.0,Winchendon,42.668160, -72.055644
300,01501,73612.0,16075.0,245300.0,Auburn,42.198708, -71.846006
301,01503,95962.0,2866.0,389500.0,Berlin,42.384929, -71.633889
302,01504,74294.0,9026.0,275600.0,Blackstone,42.039991, -71.532406
303,01505,97938.0,4355.0,348900.0,Boylston,42.355049, -71.716157
304,01506,61800.0,3390.0,203700.0,Brookfield,42.180788, -72.107891
305,01507,93963.0,12981.0,298200.0,Charlton,42.133935, -71.968025
306,01510,64723.0,13606.0,249800.0,Clinton,42.411887, -71.690005
307,01515,66042.0,2183.0,233700.0,East Brookfield,42.209682, -72.040178
308,01516,82831.0,8500.0,298700.0,Douglas,42.053072, -71.752241
309,01518,61719.0,2974.0,285400.0,Fiskdale,42.127477, -72.118818
